run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimuli,images_chosen,click-by-click-data,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
11,1,"""","""","""","""","""",image-multi-select,67,484093,0.0-1.0-0.66,1914.2800000263378,"[""Stimuli/neutral/BP5.jpg"",""Stimuli/neutral/2200.jpg"",""Stimuli/positive/b.jpg""]","[""Stimuli/neutral/BP5.jpg"",""Stimuli/neutral/2200.jpg""]","{""top_image"":""Stimuli/neutral/BP5.jpg"",""top_image_clicks"":[1387.0600000373088],""left_image"":""Stimuli/neutral/2200.jpg"",""left_image_clicks"":[1190.520000003744],""right_image"":""Stimuli/positive/b.jpg"",""right_image_clicks"":[]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,68,487461,0.0-1.0-0.67,3364.1349999816157,"[""Stimuli/positive/7499.jpg"",""Stimuli/negative/207.jpg"",""Stimuli/negative/214.jpg""]","[""Stimuli/negative/207.jpg"",""Stimuli/negative/214.jpg""]","{""top_image"":""Stimuli/positive/7499.jpg"",""top_image_clicks"":[],""left_image"":""Stimuli/negative/207.jpg"",""left_image_clicks"":[2903.8500000024214],""right_image"":""Stimuli/negative/214.jpg"",""right_image_clicks"":[2072.9750000173226]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,69,490052,0.0-1.0-0.68,2589.0050000161864,"[""Stimuli/neutral/2215.jpg"",""Stimuli/negative/3180.jpg"",""Stimuli/neutral/SP2.jpg""]","[""Stimuli/neutral/2215.jpg"",""Stimuli/neutral/SP2.jpg""]","{""top_image"":""Stimuli/neutral/2215.jpg"",""top_image_clicks"":[2058.309999993071],""left_image"":""Stimuli/negative/3180.jpg"",""left_image_clicks"":[],""right_image"":""Stimuli/neutral/SP2.jpg"",""right_image_clicks"":[1809.430000022985]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,70,494081,0.0-1.0-0.69,4025.4950000089593,"[""Stimuli/neutral/BP5.jpg"",""Stimuli/negative/206.jpg"",""Stimuli/negative/9041.jpg""]","[""Stimuli/neutral/BP5.jpg"",""Stimuli/negative/206.jpg""]","{""top_image"":""Stimuli/neutral/BP5.jpg"",""top_image_clicks"":[2278.8650000002235],""left_image"":""Stimuli/negative/206.jpg"",""left_image_clicks"":[3414.4800000358373],""right_image"":""Stimuli/negative/9041.jpg"",""right_image_clicks"":[]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,71,501702,0.0-1.0-0.70,7618.049999990035,"[""Stimuli/positive/5628.jpg"",""Stimuli/positive/4689.jpg"",""Stimuli/negative/214.jpg""]","[""Stimuli/positive/5628.jpg"",""Stimuli/positive/4689.jpg""]","{""top_image"":""Stimuli/positive/5628.jpg"",""top_image_clicks"":[6684.484999976121],""left_image"":""Stimuli/positive/4689.jpg"",""left_image_clicks"":[7051.38999997871],""right_image"":""Stimuli/negative/214.jpg"",""right_image_clicks"":[]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,72,504950,0.0-1.0-0.71,3235.759999952279,"[""Stimuli/negative/L04.bmp"",""Stimuli/neutral/194.jpg"",""Stimuli/positive/2002.jpg""]","[""Stimuli/neutral/194.jpg"",""Stimuli/positive/2002.jpg""]","{""top_image"":""Stimuli/negative/L04.bmp"",""top_image_clicks"":[],""left_image"":""Stimuli/neutral/194.jpg"",""left_image_clicks"":[2594.7349999914877],""right_image"":""Stimuli/positive/2002.jpg"",""right_image_clicks"":[2280.989999999292]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,73,533606,0.0-1.0-0.72,28653.324999962933,"[""Stimuli/negative/L29.bmp"",""Stimuli/neutral/SP2.jpg"",""Stimuli/negative/206.jpg""]","[""Stimuli/negative/L29.bmp"",""Stimuli/negative/206.jpg""]","{""top_image"":""Stimuli/negative/L29.bmp"",""top_image_clicks"":[19050.93999998644],""left_image"":""Stimuli/neutral/SP2.jpg"",""left_image_clicks"":[9750.729999970645],""right_image"":""Stimuli/negative/206.jpg"",""right_image_clicks"":[9250.97499997355]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,74,537809,0.0-1.0-0.73,4197.155000001658,"[""Stimuli/positive/7499.jpg"",""Stimuli/positive/2002.jpg"",""Stimuli/negative/6510.jpg""]","[""Stimuli/positive/7499.jpg"",""Stimuli/positive/2002.jpg""]","{""top_image"":""Stimuli/positive/7499.jpg"",""top_image_clicks"":[2518.580000032671],""left_image"":""Stimuli/positive/2002.jpg"",""left_image_clicks"":[3229.014999989886],""right_image"":""Stimuli/negative/6510.jpg"",""right_image_clicks"":[]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,75,542095,0.0-1.0-0.74,4281.370000040624,"[""Stimuli/positive/8300.jpg"",""Stimuli/positive/4689.jpg"",""Stimuli/negative/214.jpg""]","[""Stimuli/positive/8300.jpg"",""Stimuli/positive/4689.jpg""]","{""top_image"":""Stimuli/positive/8300.jpg"",""top_image_clicks"":[3652.8250000556],""left_image"":""Stimuli/positive/4689.jpg"",""left_image_clicks"":[3353.000000002794],""right_image"":""Stimuli/negative/214.jpg"",""right_image_clicks"":[2090.1250000461005]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,76,565335,0.0-1.0-0.75,23226.940000022296,"[""Stimuli/positive/5628.jpg"",""Stimuli/neutral/SP3.jpg"",""Stimuli/neutral/D.jpg""]","[""Stimuli/neutral/SP3.jpg"",""Stimuli/neutral/D.jpg""]","{""top_image"":""Stimuli/positive/5628.jpg"",""top_image_clicks"":[3574.0399999776855],""left_image"":""Stimuli/neutral/SP3.jpg"",""left_image_clicks"":[19692.619999987073],""right_image"":""Stimuli/neutral/D.jpg"",""right_image_clicks"":[4467.705000017304,18168.439999979455]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,77,569921,0.0-1.0-0.76,4581.689999962691,"[""Stimuli/negative/207.jpg"",""Stimuli/positive/5628.jpg"",""Stimuli/positive/b.jpg""]","[""Stimuli/positive/5628.jpg"",""Stimuli/positive/b.jpg""]","{""top_image"":""Stimuli/negative/207.jpg"",""top_image_clicks"":[],""left_image"":""Stimuli/positive/5628.jpg"",""left_image_clicks"":[3253.1549999839626],""right_image"":""Stimuli/positive/b.jpg"",""right_image_clicks"":[2687.709999969229]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,78,573483,0.0-1.0-0.77,3549.544999958016,"[""Stimuli/negative/214.jpg"",""Stimuli/positive/2002.jpg"",""Stimuli/neutral/2442.jpg""]","[""Stimuli/positive/2002.jpg"",""Stimuli/neutral/2442.jpg""]","{""top_image"":""Stimuli/negative/214.jpg"",""top_image_clicks"":[],""left_image"":""Stimuli/positive/2002.jpg"",""left_image_clicks"":[2550.1749999821186],""right_image"":""Stimuli/neutral/2442.jpg"",""right_image_clicks"":[2921.410000009928]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
